사건명,해양사고종류(통계용),위도,경도
레저보트 제일호 운항저해사건,운항저해,37.2952777777778,126.526944444444
모터보트 더 레이건 오프 117호 침수사건,침수,37.3566666666667,126.4375
어선 준호 기관손상사건,기관손상,37.3352777777778,126.619166666667
부선 선명무 운항저해사건,운항저해,37.3266666666667,126.6025
모터보트 불사조호 기관손상사건,기관손상,37.3330555555556,126.383055555556
예인선 덕정3호 등 2척 침수사건,침수,37.4575,126.601666666667
모터보트 찬규호 기관손상사건,기관손상,37.35,126.416666666667
무등록선 선명무 기타사건,기타,37.4413888888889,126.590277777778
무등록선 선명무 좌초사건,좌초,37.1266666666667,126.298888888889
어선 삼복2호 기관손상사건,기관손상,37.5336111111111,126.582222222222
모터보트 지그호 기관손상사건,기관손상,37.3725,126.575833333333
무등록선 선명무 기타사건,기타,37.3311111111111,126.658611111111
레저보트 선무당호 기관손상사건,기관손상,37.2733333333333,126.281111111111
모터보트 신명호 기관손상사건,기관손상,37.2919444444444,126.52
모터보트 사위사랑호 전복사건,전복,37.3577777777778,126.421944444444
어선 황금호 기관손상사건,기관손상,37.1805555555556,126.385555555556
어선 우주호 침수사건,침수,37.3166666666667,126.4
어선 민성호 운항저해사건,기관손상,37.2866666666667,126.443055555556
모터보트 나타샤호 기관손상사건,기관손상,37.3627777777778,126.445555555556
모터보트 해신호 추진축계손상사건,추진축계손상,37.3022222222222,126.552777777778
모터보트 삼영호 추진축계손상사건,추진축계손상,37.3666666666667,126.45
어선 우주호 기관손상사건,기관손상,37.3166666666667,126.4425
어선 별망호 기관손상사건,기관손상,37.23,126.4075
어선 돌고래호 기관손상사건,기관손상,37.3386111111111,126.660555555556
모터보트 천만호 기관손상사건,기관손상,37.4088888888889,126.578055555556
모터보트 천만호 기관손상사건,기관손상,37.4316666666667,126.589166666667
어선 별망호 기관손상사건,기관손상,37.2166666666667,126.416666666667
어선 스피드호 부유물감김사건,부유물감김,37.3319444444444,126.529444444444
레저보트 태영호 기관손상사건,기관손상,37.4713888888889,126.590833333333
어선 유선호 안전저해사건,부유물감김,37.4,126.583333333333
모터보트 광복호 침수사건,침수,37.4977777777778,126.628888888889
어선 건지2호 기관손상사건,기관손상,37.2341666666667,126.393888888889
어선 선상2호 화재사건,화재 · 폭발,37.3263888888889,126.655
어선 일광호 부유물감김사건,부유물감김,37.3611111111111,126.528333333333
어선 정성2호 기관손상사건,기관손상,37.3388888888889,126.6
어선 영복1호 기관손상사건,기관손상,37.2786111111111,126.4375
어선 영복1호 운항저해사건,운항저해,37.2872222222222,126.446666666667
어선 장산호 침몰사건,침몰,37.3586111111111,126.431944444444
낚시어선 해승5호 추진축계손상사건,추진축계손상,37.2166666666667,126.391388888889
어선 제2지정호 운항저해사건,운항저해,37.3166666666667,126.55
모터보트 시그널호 기관손상사건,기관손상,37.3336111111111,126.523888888889
모터보트 연우호 기관손상사건,기관손상,37.3466666666667,126.43
모터보트 선명무 기관손상사건,기관손상,37.3261111111111,126.485277777778
모터보트 시폭스호 추진축계손상사건,추진축계손상,37.325,126.471944444444
어선 명신호 침수사건,침수,37.3438888888889,126.645833333333
부선 동인1호 작업원사망사건,안전사고,37.34,126.647777777778
어선 일광호 부유물감김사건,부유물감김,37.3372222222222,126.453333333333
"예인선 76해동호의 피예인부선 대원105호, 어선 인광호 충돌사건",충돌,37.4344444444444,126.593333333333
모터보트 유림호 기관손상사건,기관손상,37.3675,126.447777777778
어선 지평선호 기관손상사건,기관손상,37.3280555555556,126.533055555556
낚시어선 강산호 기관손상사건,기관손상,37.3194444444444,126.609444444444
모터보트 에쿠스호 기관손상사건,기관손상,37.4036111111111,126.542222222222
낚시어선 강산호 기관손상사건,기관손상,37.3363888888889,126.637222222222
모터보트 대추호 기관손상사건,기관손상,37.1933333333333,126.205555555556
어선 대동호 좌초사건,좌초,37.5333333333333,126.583333333333
레저보트 경기호 운항저해사건,운항저해,37.3663888888889,126.485833333333
어선 수경2호 기관손상사건,기관손상,37.3291666666667,126.530277777778
모터보트 경은호 기관손상사건,기관손상,37.2333333333333,126.416666666667
모터보트 해신마린호 기관손상사건,기관손상,37.1944444444444,126.43
낚시어선 창해호 좌초사건,좌초,37.3580555555556,126.502777777778
어선 하나호 기관손상사건,기관손상,37.4308333333333,126.556944444444
어선 수진호 기관손상사건,기관손상,37.2372222222222,126.425555555556
어선 삼성호 조타장치손상사건,조타장치손상,37.4,126.55
어선 평안1호 조타장치손상사건,조타장치손상,37.3436111111111,126.666944444444
어선 일광호 부유물감김사건,부유물감김,37.2888888888889,126.525
모터보트 연수호 운항저해사건,운항저해,37.42,126.558888888889
어선 돌섬호 추진축계손상사건,추진축계손상,37.3166666666667,126.366666666667
어선 서해8호 기관손상사건,기관손상,37.3261111111111,126.602222222222
모터보트 알바트로스호 추진축계손상사건,추진축계손상,37.1794444444444,126.425277777778
동력요트 런너호 기관손상사건,기관손상,37.1688888888889,126.373333333333
어선 연화호 기관손상사건,기관손상,37.3258333333333,126.523055555556
어선 길영호 부유물감김사건,부유물감김,37.3166666666667,126.333333333333
어장관리선 태운2호 전복사건,전복,37.4886111111111,126.598611111111
모터보트 그린시티호 운항저해사건,운항저해,37.35,126.466666666667
어선 행운2호 조타장치손상사건,조타장치손상,37.3877777777778,126.573055555556
작업선 부흥2호 침수사건,침수,37.4558333333333,126.6
모터보트 이엘호 기관손상사건,기관손상,37.1166666666667,126.2
모터보트 정민호 기관손상사건,기관손상,37.2411111111111,126.390555555556
모터보트 푸른바다호 기관손상사건,기관손상,37.1863888888889,126.426111111111
모터보트 거탑마린호 기관손상사건,기관손상,37.2022222222222,126.451111111111
모터보트 다담호 기관손상사건,기관손상,37.3133333333333,126.340277777778
어선 기성호 기관손상사건,기관손상,37.3797222222222,126.491111111111
어선 광일호 조타장치손상사건,조타장치손상,37.1088888888889,126.109166666667
모터보트 미라클호 기관손상사건,기관손상,37.295,126.39
모터보트 살랑살랑호 기관손상사건,기관손상,37.0333333333333,126.083333333333
낚시어선 거양호 기관손상사건,기관손상,37.2897222222222,126.408333333333
낚시어선 제2라이즈호 추진축계손상사건,추진축계손상,37.3166666666667,126.4
낚시어선 제2라이즈호 부유물감김사건,부유물감김,37.35,126.433333333333
세일링요트 세런디피티호 부유물감김사건,부유물감김,37.4333333333333,126.566666666667
모터보트 중산호 기관손상사건,기관손상,37.56,126.595
어선 현진호 화재사건,화재 · 폭발,37.4922222222222,126.626666666667
레저보트 푸른호 추진축계손상사건,추진축계손상,37.3872222222222,126.514444444444
낚시어선 서해호 기관손상사건,기관손상,37.0830555555556,126.081111111111
낚시어선 서해호 기관손상사건,기관손상,37.4266666666667,126.566666666667
어선 금광호 안전저해사건,부유물감김,37.2666666666667,126.266666666667
어선 대성호 선원부상사건,안전사고,37.3333333333333,126.507222222222
모터보트 아침이슬호 추진축계손상사건,추진축계손상,37.34,126.356666666667
세일링요트 오리노코호 운항저해사건,운항저해,37.5552777777778,126.595833333333
낚시어선 스카이호 기관손상사건,기관손상,37.3202777777778,126.420277777778
어선 107대복호 안전저해사건,부유물감김,37.2208333333333,126.396944444444
"어선 중원호, 낚시어선 세븐스타호 충돌사건",충돌,37.3275,126.373888888889
레저보트 비너스호 좌초사건,좌초,37.3169444444444,126.603888888889
모터보트 신성호 기관손상사건,기관손상,37.3430555555556,126.358888888889
동력요트 프리덤호 추진축계손상사건,추진축계손상,37.6041666666667,126.553333333333
모터보트 위드호 기관손상사건,기관손상,37.5361111111111,126.587777777778
모터보트 위드호 기관손상사건,기관손상,37.3702777777778,126.455555555556
어선 화성호 안전저해사건,부유물감김,37.3416666666667,126.416666666667
"어선 화성호, 부선 동원102호 충돌사건",충돌,37.4166666666667,126.577777777778
어선 운수호 안전저해사건,부유물감김,37.4058333333333,126.552777777778
모터보트 민스호 조타장치손상사건,조타장치손상,37.3666666666667,126.45
모터보트 피싱호 추진축계손상사건,추진축계손상,37.0738888888889,126.289444444444
어선 광진호 기관손상사건,기관손상,37.4363888888889,126.598333333333
어선 장성호 좌초사건,좌초,37.3,126.45
세일링요트 안나호 부유물감김사건,부유물감김,37.2,126.445833333333
화물선 케이에스 헤르메스호ㆍ어선 우성호 충돌사건,충돌,37.0897222222222,126.271944444444
모터보트 해마호 부유물감김사건,부유물감김,37.1177777777778,126.224722222222
어선 원주호 부유물감김사건,부유물감김,37.4111111111111,126.550277777778
낚시어선 유성호 조타장치손상사건,조타장치손상,37.2961111111111,126.538333333333
유선 영진11호 선원부상사건,안전사고,37.2369444444444,126.391111111111
어선 해성호 기관손상사건,기관손상,37.3275,126.359722222222
세일링요트 스탠다드호 기관손상사건,기관손상,37.1072222222222,126.244722222222
모터보트 신흥2호 침수사건,침수,37.4575,126.601111111111
어선 광진호 부유물감김사건,부유물감김,37.4255555555556,126.572777777778
모터보트 신흥2호 해양오염사건,해양오염,37.4577777777778,126.601944444444
레저보트 창림호 안전저해사건,부유물감김,37.5233333333333,126.592222222222
어선 광진호 침수사건,침수,37.5019444444444,126.596944444444
통선 신하30호 기관손상사건,기관손상,37.4377777777778,126.584166666667
유선 인하20호 침수사건,침수,37.4908333333333,126.623888888889
기타선 대한호 해양오염사건,해양오염,37.4905555555556,126.620555555556
어선 봉영2호 좌초사건,좌초,37.3547222222222,126.501666666667
어선 영진호 화재사건,화재 · 폭발,37.1736111111111,126.386944444444
낚시어선 해진22호 침수사건,침수,37.4,126.583333333333
어선 성춘호 기관손상사건,기관손상,37.4202777777778,126.563333333333
유선 마도로스호 부유물감김사건,부유물감김,37.3691666666667,126.531666666667
낚시어선 해진22호 기관손상사건,기관손상,37.4194444444444,126.568888888889
순찰선 해양2호 화재사건,화재 · 폭발,37.5588888888889,126.606944444444
어선 동남호 기관손상사건,기관손상,37.3713888888889,126.483333333333
유선 5수광호 기관손상사건,기관손상,37.3919444444444,126.538888888889
"어선 히트호, 어선 제1금강호 충돌사건",충돌,37.4577777777778,126.597222222222
통선 현대11호 침몰사건,침몰,37.3577777777778,126.6175
낚시어선 베스트호 기관손상사건,기관손상,37.3916666666667,126.525
기타선 강남호 조타장치손상사건,조타장치손상,37.3416666666667,126.636388888889
낚시어선 안산1호 안전저해사건,부유물감김,37.3333333333333,126.633333333333
낚시어선 대부서해호 기관손상사건,기관손상,37.1688888888889,126.442222222222
도선선 인천2호 화재사건,화재 · 폭발,37.4175,126.567777777778
"예인선 76해동호의 피예인부선 대원105호, 어선 인광호 충돌사건",충돌,37.4344444444444,126.593333333333
어선 제103유일호 좌초사건,좌초,37.41,126.545
어선 코털호 조타장치손상사거,조타장치손상,37.3333333333333,126.35
낚시어선 승진호 안전저해사건,부유물감김,37.0722222222222,126.079166666667
유선 101신흥호 기관손상사건,기관손상,37.3322222222222,126.471388888889
유선 101신흥호 기관손상사건,기관손상,37.3236111111111,126.4875
"부선 시온호, 컨테이너선 아브얀 충돌사건",충돌,37.3394444444444,126.644722222222
예인선 제9금성호 침수사건,침수,37.4516666666667,126.609722222222
"예인선 유진2호의 피예인부선 301삼원호, 예인선 한성호의 피예인부선 12태양호 충돌사건",충돌,37.4316666666667,126.596666666667
원유운반선 삼우2호 기관손상사건,기관손상,37.3833333333333,126.55
낚시어선 가마우지호 조타장치손상사건,조타장치손상,37.3525,126.506666666667
낚시어선 올스타호 기관손상사건,기관손상,37.1666666666667,126.416666666667
기타선 충남207호 침수사건,침수,37.4577777777778,126.600833333333
통선 서울5호 선원부상사건,안전사고,37.0391666666667,126.118611111111
유선 새시대호 기관손상사건,기관손상,37.3233333333333,126.4675
유선 새시대호 기관손상사건,기관손상,37.3705555555556,126.508333333333
어선 경인호 조타장치손상사건,조타장치손상,37.3166666666667,126.466666666667
유선 현주스타호 기관손상사건,기관손상,37.2066666666667,126.443888888889
어선 제99융진호 기관손상사건,기관손상,37.1363888888889,126.158055555556
어선 대경호 기관손상사건,기관손상,37.4341666666667,126.58
예인선 덕정3호 등 2척 침수사건,침수,37.4575,126.601666666667
어선 제2002대청호 기관손상사건,기관손상,37.1333333333333,126.290555555556
"어선 히트호, 어선 제1금강호 충돌사건",충돌,37.4577777777778,126.597222222222
유선 로얄1호 기관손상사건,기관손상,37.3641666666667,126.5525
낚시어선 제트호 기관손상사건,기관손상,37.3686111111111,126.473333333333
낚시어선 썬스타호 기관손상사건,기관손상,37.2019444444445,126.2025
낚시어선 썬스타호 기관손상사건,기관손상,37.2613888888889,126.231111111111
예인선 제1태양호 해양오염사건,해양오염,37.4580555555556,126.598333333333
유선 3뉴월드호 화재사건,화재 · 폭발,37.4561111111111,126.601111111111
예인선 유호5호 해양오염사건,해양오염,37.4513888888889,126.609166666667
기타선 101유진호 침몰사건,침몰,37.4236111111111,126.598055555556
예인선 태양9호 조타장치손상사건,조타장치손상,37.4,126.566666666667
기타선 제1중현호 추진축계손상사건,추진축계손상,37.3663888888889,126.542222222222
"유조선 와이엔 오션호, 통선 제7해주호 충돌사건",충돌,37.4044444444444,126.556388888889
예인선 오대양12호의 피예인부선 태양22호 침수사건,침수,37.4741666666667,126.586388888889
어선 제6문성호 부유물감김사건,부유물감김,37.2933333333333,126.446944444444
예인선 광해201호 해양오염사건,해양오염,37.4530555555556,126.611944444444
"유조선 와이엔 오션호, 통선 제7해주호 충돌사건",충돌,37.4044444444444,126.556388888889
예인선 동아티3호 해양오염사건,해양오염,37.4527777777778,126.611944444444
낚시어선 페라리호 기관손상사건,기관손상,37.105,126.135555555556
낚시어선 킹스타호 기관손상사건,기관손상,37.3166666666667,126.383333333333
낚시어선 아이리스호 부유물감김사건,부유물감김,37.1766666666667,126.445277777778
낚시어선 챌린저호 부유물감김사건,부유물감김,37.4222222222222,126.566111111111
낚시어선 제우스호 기관손상사건,기관손상,37.2491666666667,126.235555555556
작업선 크린3호 침수사건,침수,37.4561111111111,126.6
낚시어선 베스트2호 기관손상사건,기관손상,37.3166666666667,126.3
부선 거원6호 침수사건,침수,37.4577777777778,126.601666666667
예인선 101경원호 해양오염사건,해양오염,37.4558333333333,126.600555555556
낚시어선 썬스타호 기관손상사건,기관손상,37.4305555555556,126.569166666667
기타선 인성2호 화재사건,화재 · 폭발,37.43,126.584444444444
낚시어선 부라보호 기관손상사건,기관손상,37.1147222222222,126.204444444444
"어선 제111신건호, 어선 해동호 충돌사건",충돌,37.2911111111111,126.437777777778
예인선 성우1호 해양오염사건,해양오염,37.45,126.608333333333
낚시어선 챌린저호 기관손상사건,기관손상,37.3927777777778,126.523611111111
여객선 서해누리호 운항저해사건,운항저해,37.3916666666667,126.550833333333
일반화물선 강남호 기관손상사건,기관손상,37.2666666666667,126.2375
"어선 제111신건호, 어선 해동호 충돌사건",충돌,37.2911111111111,126.437777777778
예인선 107덕운호 침수사건,침수,37.4477777777778,126.606944444444
"어선 태형호, 어선 윤진호 충돌사건",충돌,37.3366666666667,126.660555555556
어선 베테랑호 침수사건,침수,37.4561111111111,126.597777777778
"어선 태형호, 어선 윤진호 충돌사건",충돌,37.3366666666667,126.660555555556
낚시어선 시크릿호 기관손상사건,기관손상,37.4266666666667,126.583333333333
예인선 성보호 침수사건,침수,37.4416666666667,126.604444444444
어선 민성1호 기타사건,기타,37.4563888888889,126.593333333333
에인선 천경3호 화재사건,화재 · 폭발,37.4575,126.601666666667
예인선 대해3호 부유물감김사건,부유물감김,37.4066666666667,126.565
낚시어선 금강7호 기관손상사건,기관손상,37.1377777777778,126.314166666667
낚시어선 세븐호 기관손상사건,기관손상,37.2697222222222,126.419722222222
예인선 나우23호 침수사건,침수,37.4958333333333,126.604444444444
부선 그린1호 화재사건,화재 · 폭발,37.4913888888889,126.621111111111
석유제품운반선 제7민성호 해양오염사건,해양오염,37.455,126.595833333333
예인선 세븐스타호 방파제접촉사건,접촉,37.4377777777778,126.588333333333
일반화물선 신한페리호 기관손상사건,기관손상,37.3233333333333,126.388888888889
카페리선 신한페리호 기관손상사건,기관손상,37.0833333333333,126.266666666667
예인선 한아501호 선원부상사건,안전사고,37.0527777777778,126.129722222222
"예인선 유진2호의 피예인부선 삼원301호, 어획물운반선 제108한일호 충돌사건",충돌,37.3852777777778,126.516666666667
어선 영창호 기관손상사건,기관손상,37.0630555555556,126.124444444444
"예인선 유진2호의 피예인부선 301삼원호, 예인선 한성호의 피예인부선 12태양호 충돌사건",충돌,37.4316666666667,126.596666666667
낚시어선 스마트1호 부유물감김사건,부유물감김,37.3216666666667,126.334166666667
낚시어선 영석호 조타장치손상사건,기관손상,37.1886111111111,126.181666666667
예인선 글로벌스타호 좌초사건,좌초,37.4658333333333,126.599444444444
부선 장성101호 침수사건,침수,37.4452777777778,126.612222222222
예인선 삼표201호 화재사건,화재 · 폭발,37.4022222222222,126.5575
예인선 제201금단호 선원부상사건,안전사고,37.0880555555556,126.233055555556
컨테이너운반선 워나우 마스터 선원사망사건,안전사고,37.4419444444444,126.605
압항예선 301신항만호 침몰사건,침몰,37.4583333333333,126.601388888889
예인선 태화11호 좌초사건,좌초,37.4244444444444,126.583888888889
어선 덕길2호 기관손상사건,기관손상,37.4452777777778,126.579166666667
"석유제품운반선 15명진호, 산적화물선 티안 주이 충돌사건",충돌,37.4272222222222,126.574166666667
"예인선 76해동호의 피예인부선 대원105호, 어선 인광호 충돌사건",충돌,37.4344444444444,126.593333333333
도선 세종1호 운항저해사건,운항저해,37.4930555555556,126.582222222222
어선 제7승진호 기관손상사건,기관손상,37.3166666666667,126.316666666667
여객선 웅진훼미리호 부유물감김사건,부유물감김,37.3333333333333,126.35
"부선 시온호, 컨테이너선 아브얀 충돌사건",충돌,37.3394444444444,126.644722222222
어선 행복호 선원실종사건,안전사고,37.1666666666667,126.433333333333
기타선 하늘7호 침수사건,침수,37.4530555555556,126.612222222222
여객선 코리아킹호 안전저해사건,부유물감김,37.4561111111111,126.595
여객선 코리아킹호 기관손상사건,기관손상,37.4111111111111,126.558333333333
예인선 오대양12호의 피예인부선 태양22호 침수사건,침수,37.4741666666667,126.586388888889
여객선 플라잉카페리호 기관손상사건,기관손상,37.3566666666667,126.453333333333
공사작업용부선 교동비피150호 화재사건,화재 · 폭발,37.4466666666667,126.605277777778
유선 뉴코스모스호 기타사건,운항저해,37.5591666666667,126.594166666667
"예인선 유진2호의 피예인부선 301삼원호, 예인선 한성호의 피예인부선 12태양호 충돌사건",충돌,37.4316666666667,126.596666666667
"예인선 유진2호의 피예인부선 삼원301호, 어획물운반선 제108한일호 충돌사건",충돌,37.3852777777778,126.516666666667
"예인선 유진2호의 피예인부선 삼원301호, 어획물운반선 제108한일호 충돌사건",충돌,37.3852777777778,126.516666666667
부선 미래9003호 화재사건,화재 · 폭발,37.3694444444444,126.556388888889
부선 트윈스타2호 부표접촉사건,접촉,37.4930555555556,126.618611111111
"자동차운반선 글로비스 코러스호, 일반화물선 스카이오션 충돌사건",충돌,37.465,126.606666666667
시멘트운반선 삼표38호 해양오염사건,해양오염,37.3147222222222,126.316666666667
"어선 화성호, 부선 동원102호 충돌사건",충돌,37.4166666666667,126.577777777778
부선 왕산호 침수사건,침수,37.3605555555556,126.556111111111
액체화학품산적운반선 뉴 챌린지호 기관손상사건,기관손상,37.0252777777778,126.088888888889
어선 중원호 좌초사건,좌초,37.41,126.545
"어선 중원호, 낚시어선 세븐스타호 충돌사건",충돌,37.3275,126.373888888889
컨테이너선 톈 푸 톈진 좌초사건,좌초,37.5527777777778,126.585277777778
화물선 케이에스 헤르메스호ㆍ어선 우성호 충돌사건,충돌,37.0897222222222,126.271944444444
시멘트운반선 현진호 부두접촉사건,접촉,37.4352777777778,126.611944444444
어선 제98금양호 화재발생,화재 · 폭발,37.4552777777778,126.592777777778
액체화학품산적운반선 스프링 화재사건,화재 · 폭발,37.45,126.582222222222
액체화학품산적운반선 엘 조로 좌초사건,좌초,37.4855555555556,126.593611111111
"석유제품운반선 15명진호, 산적화물선 티안 주이 충돌사건",충돌,37.4272222222222,126.574166666667
컨테이너선 마르클라우드 해양오염사건,해양오염,37.3416666666667,126.630555555556
여객선 신위진샹 화재사건,화재 · 폭발,37.2533333333333,126.238333333333
여객선 비룡호 화재사건,화재 · 폭발,37.455,126.596666666667
여객선 샹쉐란 부두접촉사건,접촉,37.4208333333333,126.597777777778
여객선 오리엔탈펄6 해양오염사건,해양오염,37.4525,126.594722222222
국제여객선 화동명주6 기관손상사건,기관손상,37.085,126.269722222222
산적화물선 왕다 선원부상사건,안전사고,37.0297222222222,126.110277777778
유조선 포모사 써틴 항로부이 접촉사건,접촉,37.4391666666667,126.571666666667
유조선 동아 테미스 부두접촉사건,접촉,37.5,126.6
여객선 뉴골든브리지7 화재사건,화재 · 폭발,37.4694444444444,126.622222222222
액체화학품산적운반선 카보네그로2 등부표접촉사건,접촉,37.4847222222222,126.594722222222
컨테이너선 노스 브리지 부두접촉사건,접촉,37.3380555555556,126.609722222222
산적화물선 사키자야 퓨처 부두접촉사건,접촉,37.4961111111111,126.604444444444
자동차운반선 지오지스 해양오염사건,해양오염,37.46,126.618611111111
자동차운반선 오토 배너 화재사건,화재 · 폭발,37.4694444444444,126.6175
"자동차운반선 글로비스 코러스호, 일반화물선 스카이오션 충돌사건",충돌,37.465,126.606666666667
"자동차운반선 모닝카밀라, 자동차운반선 글로비스콘도르 충돌사건",충돌,37.4686111111111,126.589722222222
"자동차운반선 모닝카밀라, 자동차운반선 글로비스콘도르 충돌사건",충돌,37.4686111111111,126.589722222222
"부선 시온호, 컨테이너선 아브얀 충돌사건",충돌,37.3394444444444,126.644722222222
산적화물선 팬 아이리스 부두접촉사건,접촉,37.2416666666667,126.4275
